grouping,metric,unit,row,column,mean,available_n,eligible_n
model,column_expected_regret,utility,Average,Chicken — Escalation,1.9221874999999997,384,384
model,column_expected_regret,utility,Average,Stag Hunt — Incident response,1.1331770833333332,384,384
model,column_expected_regret,utility,Average,Battle of the Sexes — Protocol selection,7.377760416666667,384,384
model,column_expected_regret,utility,Average,Weighted mean,2.8628125,1536,1536
model,own_expected_regret,utility,Claude Sonnet 4.5,Prisoner's Dilemma — Deployment race,0.7406770833333333,96,96
model,own_expected_regret,utility,Claude Sonnet 4.5,Chicken — Escalation,1.3131249999999997,96,96
model,own_expected_regret,utility,Claude Sonnet 4.5,Stag Hunt — Incident response,0.46645833333333336,96,96
model,own_expected_regret,utility,Claude Sonnet 4.5,Battle of the Sexes — Protocol selection,4.6471875,96,96
model,own_expected_regret,utility,Claude Sonnet 4.5,Weighted mean,1.7918619791666666,384,384
model,own_expected_regret,utility,GPT-5 mini,Prisoner's Dilemma — Deployment race,1.10265625,96,96
model,own_expected_regret,utility,GPT-5 mini,Chicken — Escalation,2.0396875,96,96
model,own_expected_regret,utility,GPT-5 mini,Stag Hunt — Incident response,1.0353645833333334,96,96
model,own_expected_regret,utility,GPT-5 mini,Battle of the Sexes — Protocol selection,9.485833333333334,96,96
model,own_expected_regret,utility,GPT-5 mini,Weighted mean,3.415885416666667,384,384
model,own_expected_regret,utility,Gemini 3 Flash Preview,Prisoner's Dilemma — Deployment race,1.0717187499999998,96,96
model,own_expected_regret,utility,Gemini 3 Flash Preview,Chicken — Escalation,1.0537499999999997,96,96
model,own_expected_regret,utility,Gemini 3 Flash Preview,Stag Hunt — Incident response,1.27421875,96,96
model,own_expected_regret,utility,Gemini 3 Flash Preview,Battle of the Sexes — Protocol selection,5.936770833333334,96,96
model,own_expected_regret,utility,Gemini 3 Flash Preview,Weighted mean,2.334114583333333,384,384
model,own_expected_regret,utility,Llama 3.3 70B,Prisoner's Dilemma — Deployment race,1.19078125,96,96
model,own_expected_regret,utility,Llama 3.3 70B,Chicken — Escalation,1.8631249999999995,96,96
